indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,50,8,0,0,0,0,16,0,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.517,0.977,0.814,0.71,654.61,0.001,0.9,Adam,50.0
2,50,8,0,0,0,0,32,0,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.245,1.278,0.912,0.723,891.03,0.001,0.9,Adam,50.0
3,50,8,0,0,0,0,64,0,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.133,1.362,0.957,0.761,1397.92,0.001,0.9,Adam,50.0
4,50,8,0,0,0,0,96,0,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.113,1.64,0.965,0.74,2062.54,0.001,0.9,Adam,50.0
5,50,8,0,0,0,0,128,0,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.102,1.492,0.97,0.765,3316.16,0.001,0.9,Adam,50.0
6,50,8,0,0,0,0,16,2,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.111,1.711,0.965,0.734,841.84,0.001,0.9,Adam,50.0
7,50,8,0,0,0,0,32,2,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.094,1.741,0.971,0.739,1308.94,0.001,0.9,Adam,50.0
8,50,8,0,0,0,0,16,4,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.288,1.277,0.896,0.713,678.05,0.001,0.9,Adam,50.0
9,50,8,0,0,0,0,32,4,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.143,1.634,0.952,0.734,867.36,0.001,0.9,Adam,50.0
10,50,8,0,0,0,0,64,4,128,relu,"(3, 3)",same,max,2,"(0, 0)",0.091,1.526,0.972,0.755,1648.6,0.001,0.9,Adam,50.0
