indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,60,8,0.0001,0.0001,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.412,0.442,0.86,0.858,8468.47,0.001,0.9,Adam,100.0
2,60,8,0.0001,0.0001,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.493,0.501,0.834,0.839,8052.54,0.001,0.9,Adam,100.0
3,60,8,0.0001,0.0001,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.703,0.647,0.762,0.787,8007.17,0.001,0.9,Adam,100.0
