indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,50,6,0,0,0,0,16,-1,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.053,1.991,0.981,0.746,448.53,0.001,0.9,Adam,100.0
2,50,6,0,0,0,0,32,-1,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.044,1.818,0.986,0.767,843.4,0.001,0.9,Adam,100.0
3,50,8,0,0,0,0,16,-1,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.064,1.695,0.979,0.747,861.34,0.001,0.9,Adam,100.0
4,50,8,0,0,0,0,32,-1,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.04,1.538,0.987,0.781,2303.88,0.001,0.9,Adam,100.0
5,50,8,0,0,0,0,16,-1,128,relu,"(3, 3)",same,avg,4,"(0, 0)",0.062,2.67,0.979,0.69,1283.99,0.001,0.9,Adam,100.0
6,50,8,0,0,0,0,32,-1,128,relu,"(3, 3)",same,avg,4,"(0, 0)",0.036,2.258,0.988,0.719,1578.36,0.001,0.9,Adam,100.0
7,50,16,0,0,0,0,16,-1,128,relu,"(3, 3)",same,avg,4,"(0, 0)",2.303,2.303,0.1,0.1,1193.67,0.001,0.9,Adam,100.0
8,50,16,0,0,0,0,32,-1,128,relu,"(3, 3)",same,avg,4,"(0, 0)",2.303,2.303,0.097,0.1,2399.37,0.001,0.9,Adam,100.0
9,50,14,0,0,0,0,16,-1,128,relu,"(3, 3)",same,avg,2,"(3, 2)",2.303,2.303,0.098,0.1,1191.6,0.001,0.9,Adam,100.0
10,50,14,0,0,0,0,32,-1,128,relu,"(3, 3)",same,avg,2,"(3, 2)",2.303,2.303,0.1,0.1,2887.6,0.001,0.9,Adam,100.0
