indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,50,8,0.0001,0.0001,0,0.3,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.394,0.528,0.863,0.832,1144.53,0.001,0.9,Adam,100.0
2,50,8,0.0,0.0001,0,0.3,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.395,0.576,0.863,0.824,1228.3,0.001,0.9,Adam,100.0
3,50,8,0.0001,0.0001,0,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.545,0.552,0.815,0.82,1232.59,0.001,0.9,Adam,100.0
4,50,8,0.0,0.0001,0,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.504,0.55,0.83,0.827,1242.22,0.001,0.9,Adam,100.0
5,50,8,0.0001,0.0001,1,0.0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.023,1.077,0.992,0.822,1460.15,0.001,0.9,Adam,100.0
6,50,8,0.0,0.0001,1,0.0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.031,1.002,0.989,0.834,1465.53,0.001,0.9,Adam,100.0
7,50,8,0.0,0.0,1,0.3,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.21,0.46,0.927,0.865,1689.01,0.001,0.9,Adam,100.0
8,50,8,0.0,0.0,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.307,0.489,0.895,0.845,2138.36,0.001,0.9,Adam,100.0
9,50,8,0.0001,0.0001,1,0.3,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.215,0.452,0.924,0.866,2323.56,0.001,0.9,Adam,100.0
10,50,8,0.0,0.0001,1,0.3,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.215,0.44,0.926,0.87,1934.91,0.001,0.9,Adam,100.0
11,50,8,0.0001,0.0001,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.304,0.384,0.895,0.88,2163.31,0.001,0.9,Adam,100.0
12,50,8,0.0,0.0001,1,0.4,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.302,0.49,0.895,0.845,2598.0,0.001,0.9,Adam,100.0
