Dernier Test;;;;;;;;;;;;;;;;;;;;;;;;
indiv_id;epochs;nb_layers;l1;l2;batch_norm;dropout;filters_per_layers;filters_double;MLP_end;activation;kernel;padding;max_or_avg_pool;pool_frequency;pool_frequency_change;loss;val_loss;accuracy;val_accuracy;time_taken;learning_r;momentum;optimizer;batch_size
1;200;8;0.0001;0.0001;1;0.4;64;0;128;relu;(3, 3);same;avg;2;(0, 0);0.3;0.336;0.898;0.896;31824.99;0.001;0.9;Adam;100.0
