indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,50,8,0,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.059,1.462,0.981,0.785,1322.21,0.001,0.9,Adam,100.0
2,50,8,0,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.059,1.498,0.98,0.774,1526.57,0.001,0.9,Adam,100.0
3,100,8,0,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.167,1.855,0.939,0.66,3426.92,0.001,0.9,SGD,100.0
4,100,8,0,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.209,1.783,0.924,0.659,2565.87,0.001,0.9,SGD,100.0
